,tweets,label,username,location
396,"Who the hell is Merrick Garland, not prosecuting Trump for financial crimes, dropping charges against crooked prison guards who likely conspired to kill Epstein because the pedophilia went all the way up to the top⁉️ 

The people need to know is Garland on the take too⁉️ https://t.co/JrwKQSrzej",,54PearlsGirl,
397,"You know why people hate Trump? 

Because he was right and the others were wrong. 

Jealousy is a disease. 

We want freedom of speech, we want a free country!

We WANT TRUMP NOW!!!

$DWAC $CFVI $SPY ⏩",,MyArtNation,
398,"@Boszspartan @KOBBYANY @DemMasshole @45rapeKatiejohn you can't blame the opposite party for what the other party did. they both suck. why defend one over the other lmao. biden only had 1 year so we can't compare until his term is over, so trump so far was worse.",,Gay_4_Aliens,United States
399,"Fuck off

Swear to god, I hate Trump, Republicans, and January 6th, but you arrogant pieces of shit make me so mad https://t.co/d7hXs4aMZH",,Fan26_America,"🦅USA, land of the free🦅"
400,"@NormOrnstein @FPWellman @RepMeijer is pathetic. ""We stuck with the devil we knew because the other guy tried to do to much to help people. We figured, what are the odds Trump will kill us all? He must have learned his lesson.""",,GOP_EthicsGhost,"Washington, USA"
401,"@Gay_4_Aliens @KOBBYANY @DemMasshole @45rapeKatiejohn What made Trump horrible was what the media did, as well as the Democrats.  The entire party is nothing more than a joke, but the Republicans aren't much better. Biden so far has handled everything terribly and pretty much have given up and passed the buck.",,Boszspartan,
402,"I hate funneh because
She is trump supporter
She likes china (redacted) party
She likes android
Her fans are toxic
She's always annoying :/
That's all idiots haha",,Yulabashi,your bedsheets
403,"I am thinking of joining my friends on GETTR, but their ""hate speech"" policies and censoring makes it seem like a lateral move at best. @getongab and Telegram seem  to be better. I'll do my due diligence.",,rex_trump,
404,"Victoria man charged with arson over fire at Canberra’s Old Parliament House https://t.co/vpsih73UDJ 
They were early with their rioting. It should've been 6th January, out of respect for Trump &amp; QAnon.They also happened to go to the wrong Parliament House for a supposed protest.",,gorgeousdunny1,"Portland, Victoria, Australia."
405,"@pudgenet What are they, unarmed revolutionaries? Makes no sense.

But it was so cool to protest during Trump and none of those resisters were called wannabe Timothy McVeighs👀

Even burning Black areas too.",,MRSpinkston85,"Georgia, USA"
406,"@wcbuecker Nothing but trump, hate, fear and bullying",,sharonh62613468,"Big Island, hi "
407,"@GOP First of all,  i hate that i am agreeing with you that yes this is a problem. 

But second,  why were you defending trump when there was an equal shortage.  Please just stop being a hypocrite",,LaLaCazadora,90012
408,@ChidiNwatu @POTUS Pleeezzzz!! You hate Trump more than you love this country. This fake president has destroyed this country in less than a year!! I would love a mean tweet and $1.50 a gallon for gas. I don’t only mean gas but EVERYTHING has gone up. You can’t name anything good he has done!!!,,MiriamEubanks16,
409,@Pegs1980 @benshapiro Well I have four boys and they are doing great. I’m so thankful they all all hate Trump and the horror show of the four years we suffered as a country with him as much as I do. As do my parents. I’m very lucky that way. Our family Thanksgivings are wonderful! #thankyoubrandon,,bohemiaweekend,
410,"Did u c 60 min's?

""Jews will not replace us.""

Gawd, how I hate (and I don't want to hate), gawd how I hate Trump and his follower.",,ohohyeah,cali
411,"@Sebanovic @ggreenwald @washingtonpost Yeah, Joe Biden participated in an attempted coup d'etat using the FBI.

Donald Trump called for a protest.  A few hundred who skipped Trump's speech chanted inside the capitol.",,Apolocalypses,Lock/Load
412,"""I will have a news conference on Jan. 6th &lt;snip&gt;  Until then, remember, the insurrection took place on November 3rd, it was the completely unarmed protest of the rigged election that took place on January 6th."" ~ Trump, the 🍊Potato.

https://t.co/E5R5DadNbA",,SassyODaisy,"Minnesota, USA"
413,"@stephenablack I hate to admit how disappointed I am in so much of the Biden admin. Yes, they are better than Trump, but only marginally, if I am honest with myself. Not what I had in mind.",,j_b_mcgee,"Athens, GA"
414,"@GOP Under Biden, the FDA is screwing up communications, badly.
Under Trump - well, that administration tried to kill us all.
https://t.co/fnk5wcxPHP",,spock627corfu,
415,"@RonFilipkowski This confuses me so much
All families are sacred? WTF. Even meth heads, gay couples &amp; cheaters like Trump?
Does he think families are unique to America, or just more sacred here?
Bizarre is just a start.",,Airbare40,
416,"Colin Kaepernick took a knee during the national anthem to protest unarmed young blackmen being murdered by the police during routine traffic stops. After Jan. 6th, the whole nation should have taken a collective knee to protest Donald Trump's treason. #TrumpCoupAttempt",,MoneyTraderBlog,"Minneapolis, MN"
417,"@Out5p0ken Trump authorized unidentified troops to line the steps of the Lincoln Memorial during a BLM protest, and sat on the sidelines as his loved minions took down Congress on his behalf.",,ktpinnacle,
418,"@RodneyC18186863 I thought you might be a teacher. It’s one thing for a psychotic or demented pt to do those things, totally unacceptable from anyone else. People used to respect nurses &amp; teachers…Trump’s lies &amp; hate mongering changed that. You deserve better",,PamelaA76944572,
419,"@Drk737 @RenagadeHealer @Zac2040 @cp_619 @Reed_Coverdale Not at all actually , who stormed the capitol ? Didn’t the KKK endorse trump along with many other hate groups ?",,izzyLOOOL,"San Diego, CA"
420,"@TimRunsHisMouth @DonaldJTrumpJr Trump watched on TV for 3 hours before he said anything, ignored Don Jr’s phone calls, his daughter, and his chief of staff. Tim, is is obvious that you hate your country, no matter what party , there is right and wrong. Glad you sleep well. Sad.",,TheRickeyBeebe,
421,@DanCrenshawTX u hate President Trump? https://t.co/dq6xsE8WEL,,wallyjodi1986,
422,"Trump’s cabinet appointments were all installed to undermine the US Gov’t.

Over 100 environmental significant rollbacks were initiated under the Trump admin.

#scottpruitt #epa #usda #blm #dep 

https://t.co/2wHOBUC7Qd",,Lef_iv,NYC
423,@RadioFreeTom @EWErickson The peaceful protest of January 6th was a great day for our nation. It showed that people were more powerful than the government. It was also in direct contrast to the criminal riots of the summer for blm. When Trump is re-elected he must pardon anyone convicted for 1/6,,TrumpBrock,
424,"@johnpavlovitz I can't wait for President Trump to return to the White house in 2024, with a commanding majority in Congress and the Supreme Court, and he decides to silence YOU.

Just kidding. He wouldn't do that. He understands the Streisand Effect and the value of letting enemies hate on you",,sahlondotcom,Delaware
425,"People are creatures of habit, hate change. Fox News tells Trump followers what those followers want to hear even if the information is a lie. If enough followers get sick &amp; die, their family members might support Democrats. Time will tell. https://t.co/0UFhrIbauh",,ThaddMEvans,"Orinda, CA"
426,"@NickAdamsinUSA What I see here is ""I hate people good at the job.""

Man, you must REALLY love Trump.",,StoneysBananas,"Peoria, AZ"
427,"@business You are wrong with your hatred for Trump, if he was still president this country wouldn't be in such a mess so enjoy the life you love under Blooper Biden.   The American people know that this committee is nothing but BS and bias as hell so resign and take your hate with you.",,DufusEdwin,
428,People need to open their eyes and see that Jan 6th 2022 was a trick. Why didn’t Nancy Pelosi send the National Gaurd like President Trump advised? Was Nancy in cahoots with the FBI? Just because Democrats hate anyone who is doesn’t think like them doesn’t mean they are wrong.,,SylviaSueLynn,United States
429,"@ScaryDairy15 @eloisecommaille @SergioGor @DonaldJTrumpJr @WinningTeamPub Oh please, if you cared to actually gather the info in that you'd be embarrassed to show it. Because you know Trump didn't like him. I have a picture with Bush Jr and I fucking hate him. Why didn't you put the one of Bill Clinton up there?",,NYgiantsSUCK,United States
430,@TexToxic Sorry trump didn't undermine covid-19. If people didn't the a mine of a goldfish they know it was the Dems that undermine COVID-19  from the start. Trump did his best to handle it it was up to state levels but instead Dems play politics on people's lives  cuz they hate Trump,,olrivenburg,
431,"@AndBurguers @LegoLover117 Hate to break it to you, but there are no good guys in politics. Even Biden (who I voted for) can seem pretty sketchy. Getting mad at people for supporting trump would be like blaming actors for a bad movie; it’s not addressing the actual problem.",,Rudy_Production,"Lebanon, PA"
432,"@CoachA60 @QuinHillyer @ajenable No it wasn’t.  It was a mostly peaceful protest where some got out of hand.  The real insurrection was launched on 1/5/17 and hampered the Trump administration throughout 

https://t.co/7S3hSDgvx1",,EagleAvenging,NW Ohio
433,@stevesnj @NBCNews Trump said to peacefully protest to make your voices heard. If you believe otherwise you were lied to. I actually listened to his speech,,1Mikeg1,"Littleton, CO"
434,"@JeraldRowlett …a justice placed in a rush against prior principle 
And, yes, protests against Trump’s apparent racist / anti-Muslim speech. Remember the protests when Obama was elected, yep there were plenty
But they didn’t organise to block certification, storm the Capitol, halt proceedings.",,DrPaperwasp,A Good Place
435,"Kissinger to Trump: ""No really you'll be the first gay President, I promise, we'll just run a Ronnie like in the 80's when we spread AIDS. It's a real 1-2 in that it'll also hurt the *boop*s. We'll even put Tony out front he loves killing."" https://t.co/KaM6m1EM4k",,KetzerN,U.S.A.
436,"@UseLogicPlease1 @SoyBoyRoy1 @StrokeyStratfo1 @SumatraSue @PRM13001813 @uzzell_cindy @Jennie_SC1 @LaurieSpoon @Boballard13 @ShellyRKirchoff @CleeseRaymond @Q_Estrada @RealDoctorT @yammerapple @9livez1 @RomeoAlpha68 @AggressiveDem @jeffschlueter1 @JambiedogTom @EnrelChi @texasangler1968 @RepublicanRehab @desjardins7 @ReganLieutenant @B26Rick @Newer_Deal @michellmybell1 @SCouple222 @manoloh102 @heh78152914 @deplorable_s @krissy_013 @TruBluRayne @Jamie_Wisconsin @BlueKomand @OmgBeckyTree @KimberlyMcKeeve @Gingercat404 @themikewest @0ryuge @DaClementMusic @CodeOfPets @Erockdouble1 @usorthem3 @ChuckBlakeman @Born2Cuss @wookietim @BluesElmwood @KennyHerbert2K @IanLStrain Any armed Dems ever stopped driving to DC to shoot Trump?
No.
Who're the extremist conspiracy loons?
https://t.co/mH4J62w3ik",,WHurensohn,#@WH'sTrumpLog
437,"@FLProudPatriot A proud patriot would recognize the legal damage Trump caused (100 laws+) including the right to kill a female bear &amp; her cubs during hibernation, yes you can kill a Mamma bear with her babies. Think about what kind of guy that is..you think he cares about Americans?",,KimHoedeman,New York
438,@drjkahn Ironic that they shut Trump and her accounts down but they keep Iran’s account open to spew hate and threats to annihilate Israel and the US.,,RobertJShapiro1,
439,@TomJChicago Stretch much. I hate trump but statements like this are ridiculous,,MattSculley,
440,@AllTheWayToDC @adamjude_ @RealSungate Donald Trump literally supported gay marriage in the late 90s. Plus I'm gayer than you imagine liking women like ew pick a side.,,Joshua4570,🇺🇲🏳️‍🌈🗽
441,Being in Pennsylvania made me hate conservatives even more when I didn’t think that was possible. Saw more trump flags than in Florida! Also saw these stickers on gas station pumps to blame Biden for gas prices. Just imagine being this obsessed and pathetic 🤣 https://t.co/KyVhUqcIok,,missfortyseven,"Florida, USA"
442,"@Janetb172 @ninoboxer You are not frustrated watching people give their children the jab that will kill them? Its happening every day!! 
I've always been all in and didn't mind waiting but this is getting really bad. Millions of children? How are they letting this happen? Trump is gloating??",,lsilvestri5,United States
443,What the fuck Twitter I wanted to make some dumb conspiracy post about Kissinger promising the MAGA/LGB crowd would be gay for Daddy Trump JFC don't show the picture fuck you,,KetzerN,U.S.A.
444,"@acfriberg @DavidAFrench Or, more likely, she is wrathful against Trump because he was the catalyst that drove nearly the entire GOP against her Father's warmongering, Neoconist perspective.  
Political dynasties tend to hate it when you stomp on their legacies and make them irrelevant.",,edclements,Northern Virginia
445,"DON'T MISS PODCAST #5. I THINK IT'S OUR BEST ONE YET. 

""TRUMP IS GOING TO HATE THIS"" EPISODE.
LISTEN TODAY &amp; YOU WILL SEE WHY.
Trump Is Running A 3-Card Monte Con Game On America
American ""Hidden"" History
A Discussion On Top Stories
West Goes South
https://t.co/5Rf03PljuZ 56 https://t.co/mNEcnOevau",,VippusaO,USA
446,@HardSociety @SebGorka Seb says Trump wants to step on everyones toes no matter what. The YMCA song is going to kill me,,Ch3ck01i5ted,
447,@AllTheWayToDC @adamjude_ @RealSungate You're homophobic because I'm gay and you disagree with me and Donald Trump was the first person to into office supporting gay marriage.,,Joshua4570,🇺🇲🏳️‍🌈🗽
448,"It is Sunday January 02, 2022, 22:26:02. Joe Biden has not restored immigration opportunity to those denied under the Trump Administration's racist ""Muslim Ban"".",,tankiebot69420,
449,"The imbecilic journalist who actually reported this. They are starting to hate Gov DeSantis as much as they loathe Pres Trump. 
It's an illness https://t.co/mrzSBmq0ry",,peopleRfrauds,
450,"The protest today in Amsterdam looked huge, and while AP (of course) mentions the lone Trump 2024 flag, I'm guessing not everyone there (in one of the most progressive cities in one of the most progressive countries) was a ""right-winger""...  https://t.co/8J1FPZtqWA",,dilleradollar,"Oregon, USA"
451,"@olg_yaari @AndrewJ132 Ironically IIRC Trump was the most liberal GOP primary candidate on LGBT issues (I recall briefly thinking that Cruz could possibly come back in Indiana after Trump opposed ""bathroom bills""). I oppose gay marriage but IMO no-fault divorce had already vitiated marriage anyway tho.",,chiboys73,
452,"@ABC And, DON'T FORGET! Trump DEMANDED his followers to ""GET PENCE"" &amp; KILL HIM! Trump &amp; his Clan keep up THE BIG LIE!  This was an OBVIOUS INSURRECTION on ""Our Capital"" on January 6th 2021! Please ENFORCE ""NO PRIVILEGES"" for Trump to ENTER  White House GROUNDS under any CIRCUMSTANCES!",,HeleneH82672223,
453,"@TheDoctorDino Slut-shaming only stops for women who are useful to the patriarchy. Which is why Billy Graham's son Tweets out stuff like this. Can you imagine his reaction to a Democratic FLOTUS who had modelled nude?
https://t.co/e2w2qfdtr1",,JeebusTrump,"Michigan, USA"
454,I don’t think you HATE trump https://t.co/J8iOU7Alj4,,Do_It_Right92,"Sodor, Tidmouth"
455,"@LarryAJRobinson Love? Hate? 
Takes one to appreciate the other.
Trump was the doctor who walked in said you are fat lose weight or die.
Biden walks in hands you a prescription and says call me in a month let's see if you feel better.
 the democrat ticket promised $500 a month thats how they won.",,TrumanPagett,"Ocala, FL"
456,"@Hubei_Peasant They do ""allow"" elections
Just not D way D West wants it
Their system of selection cum election make sure D oligarchs will never be able to come to power

Or a Trump

That's why they hate Chinese D system because they R unable to bring it down to D West's level of incompetence",,Mengalingam,
457,"“The antisemitic threats targeting our Jewish community and community centers are horrible and are painful and a very sad reminder of the work that still must be done to root out hate and prejudice and evil.”

Donald Trump, 45th President of the United States",,klockeria,"Selangor, Malaysia"
458,"@lashamista We do know what we're dealing with
thats why rumors are SO DANGEROUS to truth and reality when it gets legs to stomp out evidence based reality
Reality is its demon driven beings/souls
so the range is wide
some eat
some kill
some molest
some rape
all evils
we deal in devils liars",,I__LOVE_TRUMP,
459,@CNN This shows how warped the minds of a large percentage of tRump republicans (and some Democrats) have become. The hate and violence must stop!,,cdiver2002,
460,@RepLizCheney saw your statements about the Jan 6th leaks … you need to shut the hell up … your on the committee stop running your mouth like it’s the Hight school prom committee. We know you hate trump … but show some damn respect for the position you hold.,,langton5043,"Cumming, GA"
461,@PaulMat02880407 @JohnMur69 @nestor2184 @dylan_smart @FoxNews This was 187 minutes after the insurrection started. The protesters went home after the protest. Trump was talking to the terrorist in the capitol. Not the protesters that left 3 hours earlier,,JohnBrown1858,"Cedar City, UT"
462,"A lib friend of mine (gay male, fingernails painted) casually said over $16 dollar cocktails tonight that he “missed Trump” 

I was floored.",,NYCHomoCon,"New York, NY"
463,"@tedcruz Like someone else once said, ""To anyone complaining about a private media company kicking Trump off their platform: Think of Twitter as a Christian bakery and Trump as a gay wedding cake.""
In this case Trump/the gay wedding cake is MTG. Bye Qaren.🤷🏼‍♀️",,SAnonsense,
464,"@CortesSteve After the disastrous corrupt Hitlerian Trump years full of conflict, racial division and hate ANYTHING in America now is PROGRESS!",,twadachacha,
465,"See all these sheep responding 
so... to all you natzis
Trump won
biden cheated
china helped and poisoned the world
Fauci kill puppies and babies https://t.co/1mFEmuy5Sn",,michele_161826,
466,"Ignis had lost count of the many times that he was summoned to a nation's trump card in war. It's amusing to help a crippled dog kill a lion.

But oftentimes, there's naught else to happen as a result. And the power vacuums usually end up giving him MORE busy work.",,ferocitax,#𝔹𝕒𝕤𝕚𝕝𝕚𝕤𝕜
467,"@Muckleshoot_C His hate for the unvaxxed &amp; Trump supporters is probably rotting him from the inside out.Either that or he got his 4th, 5th, 6th or 7th ‘booster’ &amp; now knows why people don’t want that poison jab to begin with. Or his 1 kidney(donated by his sis)got damaged/killed by the vax.",,Livnadream1970,Earth
468,@johnnyo317 You believe every lie ever told to you by trump? https://t.co/aKtuUI9SIT,,TourguideJ,"New York, NY"
469,@ABC Trump hater speak out against Trump!    Nothing new. Biden whose admin is even less transparent and under his leadership had more Covid Deaths then Trump is ok. Or should we talk about Democrat policies that caused 2021 to be one of the most violent. @ABC keep spewing Trump hate,,ncrealrob,USA
470,"@MelissaBee2020 @StevenDogs @RepVernonJones @FoxNews @GovKathyHochul It’s absolutely hilarious, they CAN’T let Trump go. They have literally no game without him. Speechless when you can’t contribute to the conversation? Just throw a hate Trump comment in. 🤦🏼‍♀️🤣",,JennyAnn_I,
471,"😂😂😂😂😂😂
Don’t worry MTG, plenty of people hate you outside of your bubble! You, trump and the whole regimen of 30-minute daily work! You had no education in the past fifty years? Coming here to complain to the U.S. army? To ruin local economy and family businesses for yours? https://t.co/wI3n6wL00C",,ZoBo_44,
472,@JosieLe62818667 @MGammax3 Very busy #Jan6thCommittee https://t.co/7eF2EOG3BM,,DaClementMusic,NYC mostly
473,"Whenever I hear @joerogan yapping about any decay regarding our Presidents mental acuity, I just think about his butt corrupt buddy and co-conspirator #Trump and the decay his ignorance and hate inflicted upon our nation causing the destabilization of the free world. What a loser",,SeeBanksy,"Brooklyn, NY"
474,"@DarbysCastle They've always been around. Trump was the bait to bring out the hate parade and put them together so that they can yell: ""We are not alone!"" https://t.co/qwpSedL2Bt",,Daniel_Arola,"Houston, TX"
475,"@Michael79485904 @TSharraRahl @RNCResearch Getting infrastructure passed, the COVID relief bill, 40 judges in his first year (double Trump’s), successful vacccine and therapeutics rollout, ending the war in Afghanistan, instituted a $15 minimum wage for federal contractors, signed an anti-Asian hate crime legislation.",,DbWrasslin,Somewhere in the Earth Kingdom
476,@atensnut Donald Trump sent an angry mob into the Capitol building to kill/attack the Vice President and any senator that disregarded the 60+ failed attempts to prove election fraud. Stop trying to tear this country down it won’t work.,,Thawts4,
477,"@SeetaMedia @HardballChris Hate to break it to ya but RBG wasn’t the liberal messiah y’all pretend her to be. She rebuked calls to retire and stayed until she finally kicked the bucket under Trump, held doubts on Roe v Wade, of her 160 law clerks, one 1 was black.",,FurryOso,"Long Beach, NY"
478,"@SueurLucille @AkimboHatOnACat @CrisafulliTony @mscod1960 @FLProudPatriot You brought up charity's,  Skippy 

But we must stick to your narrative...hate, hate, hate, Trump! 
Got it",,86Biden,
479,@Boszspartan @KOBBYANY @DemMasshole @45rapeKatiejohn nah I do gotta admit trump was horrible lol but we have yet to see if biden will be the same since trump had a horrible 4 years.,,Gay_4_Aliens,United States
480,"@GetHappy1979 @JeraldRowlett @svdate @EWErickson Exactly! Trump had a huge police and national guard presence for that first protest. This time, he replaced some higher up people after losing the election to make sure the Capital police had no help. They can spin this anyway they like but 70% of Americans aren’t buying it!",,McBride1021,
481,@DE4DGlRLWALKING theyre literally saying im a trump supporter and that i pretend to convert into islam IM BORN MUSLIM WHAT IS THIS PERSON TRYNA SAYYY 😭😭😭,,deanmahdiah,msia
482,"@esaagar People like MTG are driven by conflict, racial division and hate that only serves to discombobulate the situation! Her ideology is no different from that of HITLER and corrupt racist Hitlerian Trump! The world is safer by stopping these type of people promoting hate!",,twadachacha,
483,"so how of you dems absolutely hate that pro trump commercial on SNF, on one of your very biased, democrat channel? 

also, anyone got a clip of it?",,FlamezRL,"Austin, TX"
484,"@GOPLeader @HouseGOP You, Trump &amp; every complicit Republican who planned, supported &amp; incited an overthrow of our government &amp; democracy have NO right to talk about our freedom, opportunity &amp; prosperity. You did everything in your power to take it all away based on LIES. Reps spread hate &amp; division",,cheryl_hoeler,
485,@Jldour2J @FoxNews They attack the Capitol and tried to stop the President taking office ?? This was third world country despot stuff … not a little protest.  All because trump couldn’t accept losing !,,phelps111,"Gold Coast, Queensland"
486,"@Mandalorian8204 @DillonT05925454 @EricMHancock @0samaBinLopez @DoubleMCards @CatalinAdam76 @nytimes Exactly. ""To anyone complaining about a private media company kicking Trump off their platform: Think of Twitter as a Christian bakery, and Trump as a gay wedding cake.” 
Of course in this case Trump/the gay wedding cake is MTG. So, bye Qaren.
😉",,SAnonsense,
487,"@ArtMarieCalais They hate the rest of us, and Trump's their man to wield the hatchet. It's that simple.",,chenx064,
488,@B52Malmet C’mon I hate trump as much as anyone but it’s clearly fake… look at the body,,Martymar9696,
489,@RepLizCheney @adammgentle I hate the Trump Cult’s lies more every day. There’s going to be a massive avalanche of reaction at some point. And They don’t have a clue.,,jak1971_john,
490,"@TheRealProphet6 @RadioFreeTom So name just one accomplishment that Trump achieved in 4 years. No Wall, didn’t kill Obamacare, didn’t fix immigration.  Didn’t bring back jobs to the US. Gave a tax break to the rich. Not one campaign promise kept.",,sergeantb24,Washington DC
491,Dutch crowds protest COVID measures. “Trump 2024” flag unfurled in Holland. https://t.co/YJ8HOXASyH,,Dogrunner47,San Francisco
492,@BradWesleyJaspe @JesseKellyDC So it just happened that everyone hated Mike Pence before that day and they all gathered their hate to chant about killing him on one random day. Its just a coincidence that he was the one to certify the transition of power from Donald Trump to Joe Biden that day.,,uth3nt1k,
493,"@scompomise @DrWaldo2 @Chicago1Ray Mrs. Trump was elected. Kamala slept her way thru willie brown, a married man, who assisted his mistress in getting elected. Mrs. Trump didn't do anything for the hate against her other than being married to DJT.  Yet you degrade her b/c of your TDS.  BTW, does that hurt.",,OkieDreg,United States
494,@HuntersArtWork @Camille_Stone_ @OnDaRight1 @Alan25_25 @ReaIPatriots @TeekeeMon @SnoJustis @skeeduu @Synyster63 @gruuv247 @MountainLiberal @EthanolFree90 @LisaNicholo @giddy_bunny @NanetteDonnelly @ConnieSueMesa @MissingBigDon @topleveltroll3 @MarkHoliday17 @RushvilleRockit @TeeterA5 @MinnesotaExpat @Jetson77 @instinctnaturel @cloudzzz757 @absurd_dad @furcopalypse @PennyLynn3 @BillTrumpWon @LadyOfTheOcean1 @Emma34770971 @TreatHunterDog @imvala @ItsBT50 @_No_Quarter_ @Angel_13_Rising @alshadowdancer @Argusarrow @MichaelRobison @GreenGuerilla1 @chriscr66024638 @jerbear714 @Grmpyii @amundston @InfectiousMasc1 @FactsB4Politics @Arizona_Sheriff @ThePoorMan95 @LarryWoolfolk2 @JackSpratCat but but  trump hate trump and more hate loloololol,,jeff77531528,
495,@Leighincognito Now that Trump is gone and awaiting charges.  Where do you catch up on all the hate and racism.,,trohar4,Gundangara Land Australia
496,"@DeWokeville @brianstelter Never a police murder the MAGA sheep don't like/applaud/justify until it's a white Trump supporter who is actually attacking the police and trying to kill elected officials...then it's BAAAAD, because...that's what Fox/Breitbart/KKK told you to say.",,OrigamiFrog1,At a place until a time
497,@WyomingOldFart @cure4menticide @catturd2 I’m only pathetic because you can’t handle the truth. You’ve devolved as a person. If anything Trump has exposed you for who you really are and it’s not a good look. And really I’m the one full of hate? you purposely brag about pissing people off on your Twitter feed.,,ActionBraxton1,"Texas, USA"
498,She is one of a few Republicans that will admit the truth!! That's why TFG and his cult hate her!!! Cheney: Trump 'Can Never Be Anywhere Near the Oval Office' Ever Again https://t.co/TbQFybli3I,,57555ds,
499,"@Milhouse_Van_Ho They are losing their minds without Trump.. and being spoonfed hate daily about how everyone else is a racist nazi. It's all they have now..

Don't worry though, the media will shift back to racism soon. The BLM and Antifa rioting will be back soon enough.. 

The media divides us",,NOR336337,
500,"@cnnbrk You people are idiots if you think there was an action Trump could have done to stop an ongoing protest. If he put out a tv spot, which protester with a movie screen on his back was supposed to air it, and which other protester carrying 50,000 watts of speakers would blast it? 🤣",,MyndseyeBryan,
501,"With only a couple of exceptions, a gallery of rogues and cowards: 

“They resigned in protest over Jan. 6, then never went after Trump again”

#January6thInsurrection 
#January6thCommittee 

https://t.co/iKPHWGAn7Z",,CDMatthewMurphy,"Boston, MA"
502,@Lovelife2801 I hate him so much. Weird that the ines who take creepy naked selfies are all turning or have already turned on Trump. He knows it all.,,Poppyboom3,
503,They resigned in protest over Jan. 6 - then never went after Trump again https://t.co/lYpRtjZGHx #SmartNews,,TommyNewsThomas,
504,@cgarchibald @ravelesm @joncoopertweets Ok then why is it tough to find stuff now? We’re a year in. Get over your hate for trump and see what’s really going on. Trump has zero effect on anything currently and hasn’t for a year. All of this is Brandon.,,evanko_tj,
505,"Kleptoparasitic bear steals wolves’ kill - “Kleptoparasitic” is a word to remember, works all the way from trump to zuckerberg. https://t.co/M2QehrAAZI",,YDalschen,
506,They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/pfV9Uw3lOv via @politico,,pengilis,
507,@JoeConchaTV Like Trump.. go sit down.. and stop with your hate.,,marciadawn,Brooklyn NY
508,@SoundsTruthful She was with a mob threatening to kill people inside. She was warned. She broke thru anyway. It was self defense. Trump would have s/one shot for threatening his life and breaking into Mar a Lardass too. She's not a hero. She had a choice.,,DianeToucan,
509,"""They resigned in protest over Jan. 6 — then never went after Trump again"" https://t.co/grdHomYMtD",,dvlnd3,The Empire State
510,"@Mott_and_Hester @julie_kelly2 Why ?

In August 2021 the FBI reported there was no evidence of collusion between Trump, Associates, Supporters, etc to do anything at the Capitol but stand outside and protest, which is legal",,reysmith2025,Don't look up
511,"It is Monday January 03, 2022, 08:26:01. Joe Biden has not restored immigration opportunity to those denied under the Trump Administration's racist ""Muslim Ban"".",,tankiebot69420,
512,They resigned in protest over Jan. 6 - then never went after Trump again #SmartNews  https://t.co/Bk7E9PfOJv,,creed77,usa
513,"The Trump Corrupt QGOP ONLY offers LIES, Hate, Violence , Fraud and Trumps Revenge Tour!!!!  This mother of the KKK needs taken out of Politics! https://t.co/tFEQ6INYUt",,colleen47253714,
514,They resigned in protest over Jan. 6 — then never went after Trump again - POLITICO https://t.co/akKgtYmYrp,,smp0312,Earth. Presently.  
515,"@TomJChicago Maybe the @January6thCmte @RepRaskin @RepSwalwell @AdamKinzinger @RepLizCheney @BennieGThompson WILL GET OUT IN PUBLIC SOME OF TRASH, BEFORE tRump’s presser, so that he garners the hate &amp; ridicule he deserves @TrumpWarRoom @DonaldJTrumpJr #EricTrump @IvankaTrump",,jfrankesq,Richmond (SE MI) 586-727-1900
516,"@K8TBenoit @thatbastardt0ny @nadia_oak Lol.
I don't care about 1/6

I care that more people die almost daily than on 911, due to covid.

1/6 was a protest.  The military was never gonna follow Trump.",,RealHtownDude,nunya
517,McConnell and McCarthy hate themselves for licking Trump’s boots: report https://t.co/rdnQjMnFpl,,mickivoss,"woodlawn,il"
518,"@realLizUSA Anti-Semitic, anti-Muslim, and making Hungary a close ally with both Russia and China.

Perfect fit for Trump.",,DennisConroy16,
519,"@VABVOX The DECEPTION 

HOW MANY WERE ATTACKED

THAT DAY

DID TRUMP GUARD THE CAPITAL 

YOU THINK THAT

YOU COULD HAVE

CALLED THE POLICE

STOPPED IT

HOW ABOUT THEY ARE OUTSIDE YOUR DOOR

WHO SHOWS UP FIRST

HATE

OR JUSTICE

YOU PROVE

YOUR OWN IGNORANCE 

DOMESTIC TERRORISM",,RockSlaves2,
520,"@Happyja @FranceneCorbeil @KnoxHouseSales @MSNBC @jarvisdeberry @POTUS I do read the actual ""liberal media.""  So the idea that you think mainstream corporate media is ""liberal"" is hysterical.  If you see that, well, you saw trump as a competent executive instead of a third generation career criminal con artist that grabbed you by the fear and hate.",,CindySc25022935,
521,They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/Ve2FkNMITL via @politico,,joannegiovenco1,Chicago Suburbs
522,They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/P6bq1cHPFH https://t.co/BzhYoqq1iv,,JeffreyJDavis,"ÜT: 35.224691,-80.940859"
523,"@UrbanAchievr Also should be asked: Do you support the lie that Trump won the election that lead to the insurrection in which 5 people were killed, where a failed attempt to hang the VP and kill members of Congress was the goal?",,tenoannie,"Midland, MI"
524,@ScottJenningsKY Muslim ban?  Tearing children from parents at the border?  How’s your embracement of trump policies square with those???  @GOP @GOPLeader @LeaderMcConnell #CNN #GOP,,KJClark5,"Jamison, PA"
