,tweets,label,username,location
30,"@mattman11367 @FaraDawn72 @LanceUSA70 No they dont, keeping minorities from voting (especially people of color) is more important to them then voting themselves.  Why did hate crimes climb during Trump's administration? They were emboldened. Think Rittenhouse.",,KCofNJ,"Mastic, NY"
31,Lock him up. One of trump’s stupids armed with a gun ready to violently kill democracy at the order of trump… https://t.co/PCrNf9H5x7,,PanarchP,
32,They resigned in protest over Jan. 6 - then never went after Trump again https://t.co/KPwDGn3bSs #SmartNews,,VOJay_Pgh,"Pittsburgh, PA."
33,"In the days after Jan. 6, multiple officials in the Trump administration resigned in protest. 

Today they are silent. 

https://t.co/Ko5KWmXy1i https://t.co/BZ1f7tuckt",,nycjim,"iPhone: 40.751663,-73.989670"
34,"@AmoneyResists The cable news rating are down hugely and you want them to not show Trump, who helped each of their ratings with love and hate.

Yea, right.

They need him far more than the GOP does. Sad, but true. He is polarizing and solicits emotion.",,LVillaume,Minnesota
35,"I Hate Repubes, as I used to be one of them, but I'm loving me some @RepLizCheney  right now! lol
First Thing: Cheney says Republicans must choose between Trump and truth https://t.co/pTwMIq09nb",,Majorpain1955,
36,@JenniferDJames1 @VABVOX They knew Hillary was going to run for President again and they had to destroy her.  Then Russia ran into help and Trump and co accepted that and joined in with the lies.  It worked.  What can I say.  Folks let hate run their minds.,,Azula163,
37,"@ABCPolitics @GStephanopoulos No family in American political history has been more disloyal to the constitution than hers. This is how you know old media has no soul, when the daughter of one of our most notorious war criminals can grandstand and these idiots cheer her on bc they hate trump.",,DanHollaway,"Austin, TX"
38,@GMA @TerryMoran Trump had every right to call for a protest &amp; it shouldn’t have mattered if he had said directly to “Go attack the Capital!” It should have never been able to happen. Blaming Trump is like blaming a fish for getting hooked. If Milley called out the Natl Guard it couldn’t happen https://t.co/9oSpan1GNx,,mcforgod,
39,"@CNN How about this: if trump and his corrupt stooges had succeeded in stealing the election, would violent protest have been justified? I don’t know. But a nationwide strike would have been, for sure.",,monceur_b,
40,I disagree with their assessment of the risk. And i saw the video. It was damaging to your story and narrative. Climbing through a window. No weapon. And it was clearly a small woman. Be rational. I know you hate Trump. Got it this was Not a good move. https://t.co/nAXzRAzOsF,,SMaulberger,"Decatur, IL"
41,"@JVR926 They hate us.
Trump is just the embodiment.",,2frank2bwise1,
42,"@LetruneInedil @gc_rape @shadowmaiden14 @ap_schulz @brightstrangely @marybaphomet @CritFacts @LissaCunneen @Xather2 @deportablediz @Recsun @Abra_Kastabra @FDsignifier They think #Trump was an aberration, but he’s the future so long as people live to hate 🤬 instead of to love 💕",,LoveStopsHatred,
43,@ksorbs As a two time stroke survivor I am concerned about BOTH as well as YOU. Christ was NEVER about HATE. You haven't behaved CHRIST LIKE. STRESSING about trump raised my blood pressure because he is a racist DANGEROUS idiot and blindly support him. I really want to know WHY.,,BigSixxRaven,
44,"@MichaelDeLauzon George Washington woulda fought trump lol. Take that pic off your avatar, he would hate the lot of you",,kingof_worlds,"Milwaukee, WI"
45,Big Deal! just like the peaceful protest that burned cities and killed many more. You are a special stupid ! Oh and you know Trump is back on 2024. Big Deal with that! https://t.co/5YAlYL18b5,,RoryBrowns,
46,"@pete1258 If you hate Donald Trump more than you love your country, you are no better than a Democrat.",,PanicProtocol_,
47,They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/nMCfLr2EMA via @YahooNews,,ed_hoeg,
48,"@MBSepulveda @Redjtruth @NateMaconStan You have no idea what I want …
Let me tell you. I hate debt. We need to rescind the tax plan of trump on the 1%. We need to cut federal budgets. We need to hold accountable bad decisions, from expensive toilet seats to lavish “spend the budget parties”. We need to cut costs.",,Krogerf,"Kentucky, USA"
49,"Liz Cheney
""Ex-National Archivist Thinks Trump Is Hiding- Records to Avoid ‘Prison’: Nixon knew-tapes [would] kill him"" https://t.co/VxjAgvBcNU

""Dude your cult can go to jail with u if they blindly do your bidding. Jail ain't bad coz they give u 3 meals &amp; a free COT to sleep on"" https://t.co/aWjsmcrVjZ",,911covfefe,
50,"@NelsonA57368723 @JohnnyHaris_ @ACTBrigitte Oh you’re right ! The Lincoln project guys are not democrats- they are republicans- who simply hate trump ! But you still never answered my question ,",,marakelly68,United States
51,"@drybeachguy1027 @FoxNews You must be new to @foxnews. That’s the military leader Trump gave authority to kill😂

Stick around and you’ll notice how @foxnews post pictures specifically for far right wingers.

In all fairness, cnn, fox, msnbc all post garbage. But, the far right swear fox isn’t as bad😂 https://t.co/qO7QBUUhln",,Chicagodecks,
52,https://t.co/MsVVFhTDLj  #BLM #BlackTwitter #BlackLivesMatter #Trump #BidenHarris #blexit #racismisnotanopinion  #racism is not a tool for PR. #WhiteSupremacy #WhiteSupremacists are no labels for everyone who questions anti #racist movements. Differentiate for #unity to happen!,,betrueplease,
53,"Pence is a coward &amp; he thinks that by not speaking out against Trump trying to kill him, that the Rep base will vote 4 him to be POTUS. How pathetic Reps have become. https://t.co/kdLKLrBDQU",,MargaretHenzig,
54,Trump plans to kill off every single one of you that got in his way. Not one person outside his family will live for long. https://t.co/XWGHRSVmZK,,jeongin_cats,
55,"@Theprophetcome1 Liked your spot on response. Troubling times. #Trump himself is a product of our lawyer-based capitalism and capitalistic greed. Our system produced the monster that threatens the system itself.
He gave his flock permission to to flaunt their hate and bigotry.",,tatemiller48,Planet Earth
56,@elibremer Except that twitter isn’t the government. Think of it this way: twitter is a Christian bakery and Trump &amp; 3 Toes are a gay couple. Twitter doesn’t want to make their wedding cake/provide their services to them 🤷🏽‍♀️ Y’all took that to SCOTUS and won. Thank yourselves 🤣,,Mona4Ever2021,
57,"@marakelly68 @JohnnyHaris_ @ACTBrigitte Wrong, Republicans never picked up where dems left. That's a lie. Same goes for those tiki torch guys. They are Trump haters and were hired by the elitist hate group the lincoln project.",,NelsonA57368723,"Massachusetts, USA"
58,They resigned in protest over Jan. 6 - then never went after Trump again https://t.co/dWY9pX018a #SmartNews,,Mista_Craw4ed,Raliegh
59,They resigned in protest over Jan. 6 - then never went after Lunatic Trump again https://t.co/e7RQgjougc #SmartNews,,apostlewoody,United States Minor Outlying I
60,@cnnbrk There you are beautiful Trump we love the hell out of you bro God do we ever need you back they’ve created a bio weapon to kill everybody on earth and now they want us to get it injected in your arms it’s very scary Trump we need your help,,PushBac56275500,
61,@LarryAJRobinson No. 1. Trump provoked hate crimes.,,SisVGoVegan2,
62,They resigned in protest over Jan. 6 - then never went after Trump again #SmartNews  https://t.co/qaxKvcQaDY,,cathy1854,
63,@abc7newsbayarea Strange how the “stop Asian hate”narrative stopped when they realized the perpetrators were blacks and not Trump supporters🤣🤣,,wubabadubdub,
64,They resigned in protest over Jan. 6 — then never went after Trump again - POLITICO https://t.co/17WgGNHSYv,,GinaMcC93252816,
65,They resigned in protest over Jan. 6 — then never went after Trump again – POLITICO https://t.co/hmThabaUeL,,realDJTNN,"New York, NY"
66,"They resigned in protest over Jan. 6 — then never went after 
criminal Trump again https://t.co/WTBf934L9D via @politico",,SempelsLeon,Antwerpen
67,"@phantom3009 @nickholevas @RepLizCheney @January6thCmte If Trump really meant to have a peaceful protest, then why didn't he come out from his office walk a few feet over to the briefing room to tell his  supporters to stand down?

Bro, you should be mad he conned you all to believing him. He is a con man &amp; will continue to con.",,drmom247,Southern California
68,"They resigned in protest over Jan. 6 — then never went after Trump again

https://t.co/fdDrADosqr",,noD_deR_UF,Resistance HQ 🇺🇸 🪖
69,"DON'T MISS PODCAST #5. I THINK IT'S OUR BEST ONE YET. 

""TRUMP IS GOING TO HATE THIS"" EPISODE.
LISTEN TODAY &amp; YOU WILL SEE WHY.
Trump Is Running A 3-Card Monte Con Game On America
American ""Hidden"" History
A Discussion On Top Stories
West Goes South
https://t.co/5Rf03PljuZ 57 https://t.co/lejfS1hk5L",,VippusaO,USA
70,They resigned in protest over Jan. 6 — then never went after Trump again - POLITICO https://t.co/g6WuPq7ci0,,antitru71445793,
71,@RepubCarol @ReconnStation @FanofHawkeyes @newsmax Trump made America FIRST for Covid deaths. Destroyed the world’s largest economy. Encouraged Americans to hate Americans. Stole Social Benefits from American kids to give corporations huge tax breaks. And y’all worship the ground he walks on. Eh?  That’s Canadian for WTF!,,retiredknitwit,"Ontario, Canada 🇨🇦"
72,"""We have seen countless times of people who have spoken out"" against the former president have ""paid the price with personal attacks against them,"" 
They resigned in protest over Jan. 6 - then never went after Trump again #SmartNews  https://t.co/nwcIds49zb",,KathyLe74783492,
73,@RSBNetwork Your trolls are up early today Trump 🤣🤣 They hate when you speak big facts!!! #LetsGoBrandon #FJB,,TammyCo39696692,
74,"It is Monday January 03, 2022, 07:26:01. Joe Biden has not restored immigration opportunity to those denied under the Trump Administration's racist ""Muslim Ban"".",,tankiebot69420,
75,"@TadHomerDixon I doubt that Trump or his movement could totally destroy the opposition. If he seized power, Trump would likely face a mass protest movement. From there, things could easily spiral into a full-scale civil war. 2",,MatthewPennMSU,
76,"More left wing Guardian Tripe.
Love him or hate him Trump will be back in 2024.
All the MSM and democrats in the US are trying to keep digging up dirt to try keep him out of office.
As they know more people are now voting for him. 

https://t.co/rVoMROPslD",,mbga_uk,UK /ENGLAND
77,@DanScavino Trump made America FIRST for Covid deaths. Destroyed the world’s largest economy. Encouraged Americans to hate Americans. Stole Social Benefits from American kids to give corporations huge tax breaks. And y’all worship the ground he walks on. Eh?  That’s Canadian for WTF!,,retiredknitwit,"Ontario, Canada 🇨🇦"
78,They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/tiwTUtHjcz,,JeffreyCGoudy1,
79,"They resigned in protest over Jan. 6 — then never went after Trump again

They know the truth but have come back into the cult under Cheeto’s threat to destroy them if they didn’t. A spineless pathetic bunch of morons unwilling to uphold their oath.
 https://t.co/4TOwUZdof6",,JoePDR,"Wilmington, NC"
80,"@Morning_Joe Americans sadly have come to accept violence 🤦‍♀️ this is going to be Trump’s true legacy. His vitriol &amp; hate speeches gave the green light to all bigots, racists &amp; those who embrace violence as a mode of political objections … 🤷🏼‍♀️ God help us all 🙏🏻🙏🏻🙏🏻",,lu57kelly,"New Jersey, USA"
81,A clear evidence of the moral bankruptcy of a Republican Party kidnapped by Trump and his fascist movement: They resigned in protest over Jan. 6 — then never went after Trump again - POLITICO https://t.co/vhqtZn1zbA,,vpetrash,"Pinecrest, FL"
82,"“Nixon knew that tapes were going to kill him, so he fought and said there weren’t records. 

“Given how frantic they are... there are things in those records that are going to make real trouble. I’m talking about prison time,”  -- John Carlin, archivist
https://t.co/TR5Pe4eBXh",,AnnevanLeur,Lake Michigan
83,"Lara Trump on Fox News said that Trump warned Pelosi of violence on 1/5. Charlie Kirk said it too. If Trump knew of ""imminent danger"" then IT WAS NOT A PROTEST &amp; HE SHOULD HAVE NOT TOLD THEM TO MARCH TO CAPITOL https://t.co/IvteMp4lbv",,Agnes85663660,
84,"@JeraldRowlett @svdate @EWErickson 700 have already been charged.

Trump said he would lead them there to “fight”. 

He sat on his ass watching while they beat police, when he could have stopped it.

I hope no child is being raised by someone so mired in delusions, hate and propaganda.",,bronxish,Blue New England
85,"@AliciaOnMSNBC @santiagomayer_ Trump realized it's better to be a hero to 30% of the country than be shit for the whole of the country.
I hate Trump, but he was right on this",,troysalts,Suzhou 
86,They resigned in protest over Jan. 6 - then never went after Trump again https://t.co/WlBSPG6S3T #SmartNews,,Lioness1999,Maka Ina -Mother Earth
87,They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/eM2qjTze6B via @politico,,DemocratVideos,United States
88,"@DenverG30699148 @StedmanDavid @quartz9753 @FoxNews Is that all you have? The ""well he picked on my president (who is knowingly a worthless piece of 💩) so I had to make up something about Trump because I hate him, even though he didn't do anything to me personally. I just wanna fit in."" attitude????????????",,Mz1000s,"Pleasantville, PA"
89,@washingtonpost There’s zero question about Trump’s culpability of his actions on Jan 6. But there are questions about the @GOP’s reluctance to continue lying about free &amp; fair elections. Lying about the capitol storming by people wanting to kill politicians.,,JoBreizner2,"Melbourne, Victoria"
90,"@7Veritas4 You know their sort could just do us ALL a favor and just suspend their accounts in protest. If they're so damn OUTRAGED make the move! Trump has a social media thingy, right? 👋",,LaDiva521,
91,"Democrats are using Trump’s whereabouts on January 6 to coverup killing by a Black Capitol police to a White Unarmed Woman.
Who cares where Trump was, he didn’t kill anyone, a Capitol police did!
Why no Trial???
A White cop who accidentally shot a Black man???",,BarbGallagher4,
92,"@LBC @mattfrei @Edwina_Currie As Boozo said Fuck Business, it seems that the Brexit Tories hate everyone, except Trump.",,billedm,"South East, England"
93,@Grancracker_ @KatieHill4CA Like this Trump's secret army who attacked a peaceful Wall of Moms protest? https://t.co/cy3QiJofCa,,7777Justice,USA
94,I hate the idea of a republic (Trump being an example why) but the existence of #princenonce and the way his family are trying to protect him stinks. If he can’t be jailed he should at least be removed from public and stripped of all rank and privilege @KensingtonRoyal,,gng_society,"Leamington Spa, England"
95,@garci32 Haters gotta hate. Isn't that the Trump platform? Isn't that what fuels them? Why are we surprised when goodness makes them slather. https://t.co/wYk7imRTEP,,Sallyforth18,"Sonoma County, California, USA"
96,"Agreed. Maybe the people need to march around Garland’s office. Organize, protest, demand that Garland act now on what Trump did in attempting a coup. https://t.co/fRg1f2a2vK",,LosAngeles954,
97,"@MikeHolyfuk @Crewser3Cruz It always amazes me how people who claim to hate Fox News, know so much about their news. Anyway, President Trump had many accomplishments for this country. I’m sorry that you’re so partisan that you can’t acknowledge that fact. I actually feel sorry for you.",,llcrowder,"Arkansas, USA"
98,"@Scott85023926 @overnighter5802 @thomascarolan12 @ronquille_paul @TyefiaM @CalvinE43701301 @8BrianVogel4 @RealWmGClark @brookaveli @FlyersLiberty @VexPith @PocketKens @JSpangs44 @AJDillen1 @Ajohnso50141696 @johnniewalkerd1 @EverythingDoubt @_gawdy_ @spzkaz @Morriga98159636 @BradSwan18 @EllsBellsInPA @JBToledoman @DombroskiMike @AndyHankinson @bpd115 @Julie_NoNumbers @AndyFavor1 @AFreeQueen @Darkmnemonic @NiklasNorman1 @ShookTroy @notasoreloser @ruxcytbl @Fueldog3 @servant_of_I_AM @RosaWal90673631 @Shoccking @thetenorman @MarvinRJeffcoat @ChadHansen9972 @hhitk @phins17and0 @AllPSUfootball @math4humans @JohnOdermatt @jmuns22 Worship?  Hilarious.  President Trump really does live rent free in your head

Must really kill you to know how insignificant your accomplishments are compared to his. It's obvious that it just eats at you 

You're a loser.  Accept it and move on",,tinystomper,florida mostly
99,"@jgcb2_james Ivanka isn't innocent of Trumps Coup and Insurrection having pleaded with him twice neither is Jared Kushner, he was asked to ask Trump to tell the paid thugs at the Capitol to disperse and he said I haven't time I'm to busy,true patriots wouldn't want to attack or kill anyone",,Malcy43,UK
100,They resigned in protest over Jan. 6 - then never went after Trump again #SmartNews  https://t.co/qiAOuD6b0T,,cwrujd,"Beltsville, MD"
101,"@LincolnWatchman Not just a disgrace.  It's criminal.  The purveyors of disinformation are deliberately trying to kill people; so far, the death toll is around 850k.  They should all be prosecuted, starting with Trump, the Fox News yappers, random You Tube ""docs"" &amp; even politicians like MTG.",,pjs0210,Western PA 
102,They resigned in protest over Jan. 6 - then never went after Trump again https://t.co/A7eDcP0hyN #SmartNews,,WanderNWoodsman,climbing out of an oubliette
103,"@JVR926 No. Everything bad and evil they do, they have done and are going to continue to do, is because they hate God, country and mankind.Nobody had a problem with Trump before he came against them.Just like nobody has a problem with you or me until we say no and proclaim our beliefs.",,salty_zq,
104,They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/fCclVMSB5X via @Yahoo,,julyjaneshawnee,Texas
105,@LincolnWatchman And once Trump marches back in victory his policies of divisive hate &amp; violence will re-emerge full throttle. God help the United States - we’re truly hanging by a thread as it is.,,CynthiaAngotti,West Virginia USA
106,"Ashli Babbitt a martyr? Her past tells a more complex story
#Congress 
#Senate 
#CapitolRiots
#Insurrection
#Sedition
#DonaldTrump
#Impeachment
#USCapitolPolice
#Protest
#Security
#DHS
#FBI
#Jan6th
#QAnon
#Subpoenas
#DOJ
https://t.co/csq2iqmRIi",,RealPhatsBlog,North America
107,"Adolf Hitler didn't personally kill anyone in a concentration camp.

Charles Manson didn't personally kill anyone in Hollywood.

Osama Bin Laden didn't personally kill anyone on 9/11.

Donald Trump didn't personally storm the Capitol building a year ago.

You get the picture...",,stucam7771,"Aberdeen, Scotland"
108,"@BillWatterson6 @GuardianAus Yes oddly I do think Trumps policies were great, better than ‘Let’s go Brandon’ the worst President in history. I think it’s funny that the Left hate Trump, you are all running to a script.",,JoSmith05406728,Nunya 
109,"@TheRightAva88 1. No it doesn't 

2. If you hate censorship then you support sec 230. Without it so many of the people you support would've been banned years ago. Trump for instance would've been banned when he spread the birther bullshit about Obama",,ButtMunch253,
110,@laurenboebert You are a disgrace to women and all human beings. You spew misinformation and hate. You won’t be in congress for long. People like you and your gun toting crew have no place there. Join the Trump family in prison. https://t.co/W1KtQX5eGx,,ladymindful,"Long Island, NY"
111,"@SebGorka @VDHanson I’ll hold my nose and vote for him only because I hate Democrats, but I truly wish we had another republican candidate to chose from, trump is to old and classless",,bobdoyl13603559,
112,"#Trump, TyrannicalDon, &amp; GOP supporters hate American Democracy. They are Fascists who claim Liberalism is socialism. Use it as propaganda to mobilize anti-communist sentiments. People know that govt not the market helps them in time of need. Who has Trump ever helped? Thugs?",,DonLittleHands,United States
113,"@actuallyGolog @SweetOSerenity @eckoh7 @TheBlackKratos And you can see exactly where that hate comes from.
The anti asian hate from blacks is just plain as day.

It was never Trump, or Corona virus.
Lol liberals like to think anti asian hate didn't exist before Covid.

Blacks will openly hate on asians and nobody will give a flying F",,DatuuNoon,
114,"The only important Q: Does Trump, once President again, have the balls to put out of bidness his vast array of enemies? Talkin' 17 intel agencies. Nancy Pelosi, Schiff, Schumer, McConnell, Liz Cheney, Liz Warren, Reform libel laws, kill section 230, kill teachers union, kill JPM",,MVonlaue,
115,@PacificSimGP @Keubiko Trump supporters did kill someone…it is just that you found a narrative how to pretend it didn’t happen and something to distract from everything else they did that day. Exactly right wing extremist tactics.,,just1ofyou,Bochum & Hawaii
116,@RSBNetwork PROTEST? Ever single “protest” should be jailed for 10 years under the executive order Trump signed in 2020. Remember? Monuments Act?? Wow TREASON IS WHAT ISCWAS NOT A PROTEST,,DaveMaccallum,
117,COWARDS: They resigned in protest over Jan. 6 — then never went after Trump again - POLITICO https://t.co/pBf6lhnHJm,,se_johansen,Hamilton High School
118,"@RonFilipkowski I see Tina Forte is taking the GOP standard of discourse to new lows of crass &amp; abusive language. Trump started it &amp; the GOP base loves the hate-mongering. 
All that venom spitting really fits in w/ their whole Christian, family values thing. Helluva religion they’re modeling.",,Ldenisonstevens,
119,"@JonLemire More vital.

If we let the Trump Cult &amp; the @GOP kill off our democracy, we'll be doomed to the same incompetence we saw from Trump in 2020 on the economy &amp; COVID.

Only this time, as president-for-life, with the full backing of a pro-authoritarian GOP.

https://t.co/2tW8FNcQf6",,OK_Dumbass,Under Trump's Thin Orange Skin
120,"@realKyleKeegan I hate Trump, but this quote is unsubstantiated https://t.co/jH81RXznJC",,zenarchy2,🇪🇺🇩🇪🇮🇪🇲🇽🇬🇧🇺🇸    
121,"@CameronMcNeish May not have been intentions of the bloggers&amp;Co to grow such anger/hate (inquiry/revenge for hero) it happens when you use emotion on a platform like Twitter. Manipulated by the State too?
It’s how Trump’s cronies did it.
Sadly you’re going to react to such anger/hate it’s human!",,CRE8NU,Scotland
122,They resigned in protest over Jan. 6 — then never went after Trump again l POLITICO  https://t.co/6TYORBdDI3,,fuseboxradio,USA; presently in MD/DC Metro
123,"@Toby_EGGG He's a Trump insider, that dude. He's part of the Black ""Hebrew Israelites"" hate group that basically hates Jews",,jh_crusader,"Pasadena, CA"
124,"@JackPosobiec Well if he believes that he has and continues to murder a lot more people than trump did. Moreover, Biden has been doing his best to kill the country.",,TanzerWayne,
125,They resigned in protest over Jan. 6 - then never went after Trump again  https://t.co/vL98fc6nYD,,JackSussek,New York City
126,"@ScottMorrisonMP @patcummins30 @stevesmith49 @sboland24 @CricketAus Oz👺PM=
2008 Cook pre-select plot w Tele 2 destroy brilliant Hons I engin'r Towke=82 votes vs M=8:
Wrecks T rep'n
2011 2 Shady Cab't: Get anti-Muslim vote
BFF QAnonStewart: NEVER calls QAnon out
M🖤Trump=ditto
M=Trump:Oz gutful of govs telling us wot 2 do
https://t.co/B5yih8WBCZ",,sue4democracys1,
127,"@jsolomonReports Will this bring rental car prices down? Proly not. Look for Rental companies to buy out every peer-to-peer offering. A bonanza for some. Q: how to kill Hertz, Avis, Alamo, etc. so they are DED dead? Ain't easy. Even Trump wont do it, sleeping with them.",,MVonlaue,
128,They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/D6EOVkOATs via @politico,,LauraDiBella15,Stafford Springs CT  #Resist !
129,"It is Monday January 03, 2022, 06:26:01. Joe Biden has not restored immigration opportunity to those denied under the Trump Administration's racist ""Muslim Ban"".",,tankiebot69420,
130,@JoshStern23 @TheRealOJ32 You'd prob let Trump kill your family since he'd prob get off,,hindud3,
131,They resigned in protest over Jan. 6 — then never went after Trump again - POLITICO - https://t.co/96rkbRsKml,,trumpwatchapp,Everywhere Trump is
132,"@chasbottom Why would they make such a statement ?.

Propaganda ..

Keep the narrative going ..

I wonder how many times they’ll say Trump

and insurrection ?.

Over and over INSURRECTION !.

INSURRECTION !.

INSURRECTION !.

It was just a protest like the democrats 

have done ..",,antiochblade,
133,@HillBeverlyhill They expected an “antifa” counter-protest. Those forces were put in place expecting Trump to declare martial law.,,dogriguez,"Florida, USA"
134,@graciefacelove I totally agree with almost all of that but Trump. Love him or hate him he wasn't in it for personal gain. Ego maybe. But ego drove him to fix problems not profit off them.,,harrison_hondo,"Buffalo, NY"
